DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
5.793013608384144,80,1,83,2,2,428,0,936,259,1,15,2011,2,4,1,0
5.68697535633982,1,1,1,1,1,428,0,936,33,1,13,2017,2,4,1,2
6.618738983517219,58,1,62,3,3,457,0,941,232,1,41,2017,1,3,2,0
6.802394763324311,58,1,62,3,3,99,1,82,407,0,916,2017,1,1,2,0
7.277938572945661,13,1,16,3,3,396,0,916,10,1,1,2015,1,3,3,1
6.419994928147142,34,1,37,3,3,409,0,951,111,1,21,2013,2,6,2,0
6.6895992691789665,84,1,87,2,2,457,0,941,156,1,36,2011,4,12,2,0
5.739792912179234,41,1,44,1,1,146,1,42,347,0,936,2015,3,8,1,3
6.3784261836515865,84,1,87,2,2,475,0,936,68,1,36,2010,3,7,2,0
5.811140992976701,53,1,57,3,3,457,0,941,163,1,22,2018,1,3,1,0
7.785720896534624,71,1,74,3,3,459,0,906,267,1,38,2012,4,11,5,0
6.56244409369372,58,1,62,3,3,276,1,41,398,0,926,2011,3,7,2,0
7.155396301896734,34,1,37,3,3,179,1,74,412,0,936,2013,4,10,3,0
5.8522024797744745,85,1,88,2,2,291,1,23,412,0,936,2014,1,2,1,0
6.486160788944089,25,1,28,1,5,276,1,41,368,0,936,2018,1,3,2,0
7.234177179749849,66,1,69,2,2,470,0,916,232,1,41,2013,4,12,3,0
6.095824562432225,34,1,37,3,3,436,0,941,111,1,21,2015,1,2,1,0
6.395261598115449,13,1,16,3,3,460,0,926,229,1,65,2016,1,3,2,1
7.572502985020384,71,1,74,3,3,475,0,936,170,1,85,2015,4,12,4,0
5.3706380281276624,40,1,43,2,2,475,0,936,98,1,43,2018,1,3,1,0
7.415776975415394,30,1,33,3,3,345,1,87,412,0,936,2016,2,5,4,0
7.927685045615778,5,2,6,1,4,390,0,906,163,1,22,2012,2,5,6,2
7.769378609513984,72,1,75,3,3,459,0,906,89,1,38,2014,2,4,5,0
5.934894195619588,60,4,64,3,3,91,1,52,347,0,936,2016,2,6,1,3
7.280008252884188,66,1,69,2,2,470,0,916,134,1,43,2015,2,5,3,0
6.1224928095143865,42,2,45,2,2,409,0,951,259,1,15,2011,3,7,1,2
7.563719668414366,1,1,1,1,4,200,1,85,347,0,936,2013,3,9,4,2
6.835184586147301,57,1,61,3,3,381,1,71,412,0,936,2010,3,8,2,0
5.3706380281276624,45,1,49,1,6,438,0,906,180,1,93,2015,3,7,1,2
7.2399325913204695,57,1,61,3,3,457,0,941,213,1,72,2010,3,7,3,0
6.507277712385012,17,1,20,2,2,436,0,941,98,1,43,2011,3,7,2,0
7.01571242048723,38,1,41,3,3,225,1,54,363,0,941,2013,4,12,3,1
7.558516743045645,72,1,75,3,3,184,1,42,397,0,906,2011,2,5,4,0
5.855071922202427,84,3,87,2,2,126,1,21,412,0,936,2017,3,8,1,0
7.247792581767846,20,1,23,3,3,457,0,941,199,1,33,2010,1,1,3,0
6.927557906278317,71,1,74,3,3,338,1,91,407,0,916,2017,3,8,3,0
5.905361848054571,53,1,57,3,3,475,0,936,163,1,22,2010,3,9,1,0
7.633369649679584,81,1,84,2,2,313,1,36,338,0,916,2011,1,2,5,0
6.1092475827643655,83,1,86,2,2,428,0,936,150,1,38,2018,3,8,1,0
6.274762021241939,17,1,20,2,2,108,1,43,395,0,941,2013,3,9,2,0
