Unnamed: 0,DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
42144,1225.0,AA,D,AA,3,3,PHX,US,81,YYC,CA,916,2015,3,9,3,F
26757,739.0,DL,D,DL,3,3,YYZ,CA,936,ATL,US,34,2013,2,6,2,F
8696,1198.0,N8,D,MRQ,1,1,MIA,US,33,YHM,CA,936,2011,4,11,3,P
56673,3382.0,KAQ,I,KAQ,2,2,YQM,CA,946,ANC,US,1,2018,3,8,7,P
13121,739.0,CP (2),D,CP,2,2,YYZ,CA,936,ATL,US,34,2011,1,3,2,F
27779,796.0,CP (2),D,CP,2,2,YXE,CA,921,MSP,US,63,2013,4,12,2,F
22935,634.0,U7,I,U7,2,2,ALO,US,61,YHM,CA,936,2013,1,1,2,P
17641,2366.0,UA,D,UA,3,3,DCA,US,38,YVR,CA,906,2012,4,10,5,F
53046,588.0,YX,L,YX,2,2,YYZ,CA,936,CLT,US,36,2017,4,12,2,F
32259,347.0,UA,D,UA,3,3,PHL,US,23,YYZ,CA,936,2014,2,5,1,L
20727,783.0,EV,D,EV,2,2,YWG,CA,926,DEN,US,82,2012,2,5,2,F
34048,353.0,OO,D,OO,3,3,ORD,US,41,YXU,CA,936,2014,1,1,1,F
1260,1112.0,FX,D,FX,3,3,MEM,US,54,YMX,CA,941,2010,2,4,3,G
41973,899.0,UA,D,UA,3,3,YYC,CA,916,DEN,US,82,2015,4,11,2,F
25350,460.0,ZW,D,ZW,2,2,YUL,CA,941,BWI,US,35,2013,4,11,1,F
7371,98.0,QX,D,QX,2,2,YYJ,CA,906,SEA,US,93,2010,4,11,1,F
41755,800.0,OO,D,OO,3,3,YVR,CA,906,SFO,US,91,2015,2,5,2,F
11658,868.0,G4,D,G4,2,2,YEG,CA,916,SLC,US,87,2011,3,9,2,L
20791,413.0,9E,D,9E,2,2,CVG,US,52,YYZ,CA,936,2012,3,8,1,F
1797,929.0,9E,D,9E,2,2,XNA,US,71,YYZ,CA,936,2010,3,7,2,F
17762,811.0,ZW,D,ZW,2,2,YHZ,CA,951,DCA,US,38,2012,4,11,2,F
34272,449.0,EV,D,EV,3,3,YOW,CA,936,IAD,US,38,2014,4,10,1,F
28230,452.0,QX,D,QX,2,2,YYC,CA,916,SEA,US,93,2013,2,6,1,F
